path,size,is_zigbee_ota,manufacturer_code,image_type,file_version,stack_version,header_length,payload_length,payload_sample_entropy_bits_per_byte,payload_classification,size_matches_header,error
EM3555-osram-rgbw-flex/docs/FLEX_RGBW_IMG001E_00102428-encrypted.ota,178908,True,0x1189,0x001E,0x00102428,0x0002,56,178852,7.9534,likely_encrypted_or_compressed,True,
zigbee-herdsman-converters/test/stub/otaUpgradeImages/Bosch/0x1209_0x3011_0x03076a30.ota,264354,True,0x1209,0x3011,0x03076A30,0x0002,56,264298,6.3859,likely_structured_plain_binary,True,
zigbee-herdsman-converters/test/stub/otaUpgradeImages/GammaTroniques/TICMeter.ota,1140668,True,0xFFFF,0x00C8,0x0003020D,0x0002,56,1140612,7.9271,likely_encrypted_or_compressed,True,
zigbee-herdsman-converters/test/stub/otaUpgradeImages/Gledopto/GL-S-007P_V15_A1_OTAV5_20210201_90%.ota,291622,True,0x124F,0x0000,0x00000005,0x0002,56,291566,6.7084,likely_structured_plain_binary,True,
zigbee-herdsman-converters/test/stub/otaUpgradeImages/IKEA/inspelning-smart-plug-soc_release_prod_v33816645_02579ff4-6fec-42f6-8957-4048def87def.ota,294530,True,0x117C,0x9F3E,0x02040045,0x0002,56,294474,6.6807,likely_structured_plain_binary,True,
zigbee-herdsman-converters/test/stub/otaUpgradeImages/Inovelli/VZM31-SN_2.18-Production.ota,310258,True,0x122F,0x0101,0x01020212,0x0002,56,310202,7.956,likely_encrypted_or_compressed,True,
zigbee-herdsman-converters/test/stub/otaUpgradeImages/LEDVANCE/A60_TW_Value_II-0x1189-0x008B-0x03177310-MF_DIS-20240426150951-3221010102432.ota,307510,True,0x1189,0x008B,0x03177310,0x0002,56,307454,7.9522,likely_encrypted_or_compressed,True,
zigbee-herdsman-converters/test/stub/otaUpgradeImages/LiXee/ZLinky_router_v14_limited.ota,249694,True,0x1037,0x0002,0x0000000E,0x0002,56,249638,6.4953,likely_structured_plain_binary,True,
zigbee-herdsman-converters/test/stub/otaUpgradeImages/SalusControls/WindowSensor_20240103.ota,264294,True,0x1078,0x003F,0x20240103,0x0002,56,264238,6.6739,likely_structured_plain_binary,False,
zigbee-herdsman-converters/test/stub/otaUpgradeImages/Sonoff/SN-TLSR8656-02LWD-01-v1.1.0.ota,167744,True,0x1286,0x080D,0x00001100,0x0002,56,167688,7.9505,likely_encrypted_or_compressed,True,
zigbee-herdsman-converters/test/stub/otaUpgradeImages/Tuya/ZPS_CS5490_039.ota,155646,True,0x1002,0x5EC0,0x00000039,0x0002,56,155590,6.6501,likely_structured_plain_binary,True,
